Date,Open,High,Low,Close,Adj Close,Volume
23/4/2021,257.8800049,261.5100098,257.269989,261.1499939,256.523407,21462600
26/4/2021,261.6600037,262.4400024,260.1700134,261.5499878,256.9163208,19763300
27/4/2021,261.5799866,263.1900024,260.1199951,261.9700012,257.3288879,31014200
28/4/2021,256.0799866,256.5400085,252.9499969,254.5599976,250.0501862,46903100
29/4/2021,255.4600067,256.1000061,249,252.5099945,248.0364838,40589000
30/4/2021,249.7400055,253.0800018,249.6000061,252.1799927,247.7123413,30945100
3/5/2021,253.3999939,254.3500061,251.1199951,251.8600006,247.397995,19626600
4/5/2021,250.9700012,251.2100067,245.7599945,247.7899933,243.4001007,32756100
5/5/2021,249.0599976,249.5,245.8200073,246.4700012,242.1035156,21901300
6/5/2021,246.4499969,249.8600006,244.6900024,249.7299957,245.3057251,26491100
7/5/2021,252.1499939,254.3000031,251.1699982,252.4600067,247.9873962,27032900
10/5/2021,250.8699951,251.7299957,247.1199951,247.1799927,242.8009186,29299900
11/5/2021,244.5500031,246.6000061,242.5700073,246.2299957,241.8677521,33641600
12/5/2021,242.1699982,244.3800049,238.0700073,239,234.7658539,36684400
13/5/2021,241.8000031,245.6000061,241.4199982,243.0299988,238.7244415,29624300
14/5/2021,245.5800018,249.1799927,245.4900055,248.1499939,243.7537384,23901100
17/5/2021,246.5500031,246.5899963,243.5200043,245.1799927,240.83638,24970200
18/5/2021,246.2700043,246.4100037,242.8999939,243.0800018,238.7735596,20168000
19/5/2021,239.3099976,243.2299957,238.6000061,243.1199951,239.3643036,25739800
20/5/2021,243.9600067,247.9499969,243.8600006,246.4799957,242.6723938,21800700
21/5/2021,247.5700073,248.3300018,244.7400055,245.1699982,241.3826294,21863100
24/5/2021,247.7899933,251.1600037,247.5099945,250.7799988,246.9059601,21411500
25/5/2021,251.7700043,252.75,250.8200073,251.7200012,247.8314514,17704300
26/5/2021,251.4299927,252.9400024,250.75,251.4900055,247.6049957,17771600
27/5/2021,251.1699982,251.4799957,249.25,249.3099976,245.4586792,24426200
28/5/2021,251,252.0800018,249.5599976,249.6799927,245.8229523,18270200
1/6/2021,251.2299957,251.2899933,246.9600067,247.3999939,243.5781708,23213300
2/6/2021,248.1300049,249.2700043,245.8399963,247.3000031,243.4797058,19406700
3/6/2021,245.2200012,246.3399963,243,245.7100067,241.9143066,25307700
4/6/2021,247.7599945,251.6499939,247.5099945,250.7899933,246.9157867,25281100
7/6/2021,249.9799957,254.0899963,249.8099976,253.8099976,249.8891449,23079200
8/6/2021,255.1600037,256.0100098,252.5099945,252.5700073,248.6683197,22455000
9/6/2021,253.8099976,255.5299988,253.2100067,253.5899963,249.6725464,17937600
10/6/2021,254.2899933,257.4599915,253.6699982,257.2399902,253.2661896,24563600
11/6/2021,257.9899902,258.4899902,256.6099854,257.8900146,253.9061279,18999700
14/6/2021,257.8999939,259.9500122,256.7999878,259.8900146,255.8752594,19150500
15/6/2021,259.769989,259.9899902,257.6799927,258.3599854,254.368866,18038900
16/6/2021,259.3999939,260.5799866,254.4199982,257.3800049,253.4039917,27220000
17/6/2021,256.0700073,261.75,256.0100098,260.8999939,256.8696289,27565500
18/6/2021,259.6300049,262.2999878,258.75,259.4299927,255.4223328,37202200
21/6/2021,259.8200073,263.519989,257.9200134,262.6300049,258.572876,26696100
22/6/2021,262.7200012,265.7900085,262.3999939,265.5100098,261.4084473,24694100
23/6/2021,265.9899902,266.8299866,264.4299927,265.269989,261.1720886,19518700
24/6/2021,266.1600037,267.8500061,265.4700012,266.6900024,262.5701599,21446900
25/6/2021,266.230011,267.25,264.7600098,265.019989,260.9259949,25611100
28/6/2021,266.1900024,268.8999939,265.9100037,268.7200012,264.5687866,19590000
29/6/2021,268.8699951,271.6499939,267.980011,271.3999939,267.2073975,19937800
30/6/2021,270.6900024,271.3599854,269.6000061,270.8999939,266.7151489,21656500
1/7/2021,269.6099854,271.8399963,269.6000061,271.6000061,267.4043579,16725300
2/7/2021,272.8200073,278,272.5,277.6499939,273.3609009,26458000
6/7/2021,278.0299988,279.3699951,274.2999878,277.6600037,273.3707275,31565600
7/7/2021,279.3999939,280.6900024,277.1499939,279.9299927,275.6056824,23260000
8/7/2021,276.8999939,278.730011,274.8699951,277.4200134,273.1344299,24618600
9/7/2021,275.7200012,278.0499878,275.3200073,277.9400024,273.6463928,23916700
12/7/2021,279.1600037,279.769989,276.5799866,277.3200073,273.0360413,18931700
13/7/2021,277.519989,282.8500061,277.3900146,280.980011,276.6394348,26120100
14/7/2021,282.3500061,283.6600037,280.5499878,282.5100098,278.145813,23113700
15/7/2021,282,282.5100098,279.8299866,281.0299988,276.6886597,22604200
16/7/2021,282.0700073,284.1000061,279.4599915,280.75,276.4129944,26186800
19/7/2021,278.9299927,280.3699951,274.4500122,277.0100098,272.7308044,32935600
20/7/2021,278.0299988,280.9700012,276.2600098,279.3200073,275.0050964,26259700
21/7/2021,278.8999939,281.519989,277.2900085,281.3999939,277.0529175,24364300
22/7/2021,283.8399963,286.4200134,283.4200134,286.1400146,281.7197571,23384100
23/7/2021,287.3699951,289.9899902,286.5,289.6700134,285.1951599,22768100
26/7/2021,289,289.6900024,286.6400146,289.0499878,284.5847473,23176100
27/7/2021,289.4299927,289.5799866,282.9500122,286.5400085,282.1135254,33604100
28/7/2021,288.9899902,290.1499939,283.8299866,286.2200012,281.7984619,33566900
29/7/2021,286.2399902,288.6199951,286.0799866,286.5,282.0741882,18168300
30/7/2021,285.1700134,286.6600037,283.9100037,284.9100037,280.508728,20944800
2/8/2021,286.3599854,286.769989,283.7399902,284.8200073,280.4201355,16267400
3/8/2021,285.4200134,287.230011,284,287.1199951,282.6845398,17879000
4/8/2021,286.2200012,287.5899963,284.6499939,286.5100098,282.0840149,16191300
5/8/2021,286.8800049,289.6300049,286.1000061,289.519989,285.0475159,13900200
6/8/2021,288.5100098,289.5,287.6199951,289.4599915,284.9884338,16589300
9/8/2021,289.75,291.5499878,287.8099976,288.3299866,283.875885,16117600
10/8/2021,288.7999878,289.25,285.2000122,286.4400024,282.0150757,18616600
11/8/2021,287.2099915,288.6600037,285.8599854,286.9500122,282.5172424,13955900
12/8/2021,286.6300049,289.9700012,286.3399963,289.8099976,285.3330688,14561300
13/8/2021,289.480011,292.8999939,289.2999878,292.8500061,288.3260803,18249000
16/8/2021,293.1900024,294.8200073,290.019989,294.6000061,290.0490417,22507600
17/8/2021,292.3900146,293.4299927,291.0799866,293.0799866,288.5524902,20075300
18/8/2021,292.0400085,294.8200073,290.269989,290.730011,286.7867737,21813000
19/8/2021,288.6900024,297.4700012,288.6400146,296.769989,292.744873,29850500
20/8/2021,299.7200012,305.8399963,298.0599976,304.3599854,300.2319031,40817600
